No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight	0)	0.0	0	0316	8	45	22	7C	0A	22	1E	00	7F
48)	13.9	0	0329	8	40	AD	7E	8C	12	2A	00	10
49)	13.9	0	0382	8	40	FE	0F	00	00	00	00	08
50)	13.9	0	04B1	8	00	00	00	00	00	00	00	00
51)	13.9	0	0164	8	00	08	00	00	00	00	07	0F
52)	14.9	0	04F0	8	00	00	8A	00	00	74	64	0D
53)	14.9	0	0370	8	FF	20	00	80	FF	00	00	64
54)	14.9	0	043F	8	00	40	60	FF	6D	FC	09	00
55)	14.9	0	0440	8	FF	50	00	00	FF	FC	09	00
56)	14.9	0	0545	8	C8	11	00	8A	1C	00	1E	00
57)	15.9	0	059B	8	00	00	00	00	00	00	00	88
58)	18.9	0	0153	8	00	80	10	FF	00	FF	E0	6E
59)	18.9	0	0165	8	E9	47	80	00	00	00	07	29
60)	18.9	0	01F1	8	00	00	00	00	00	00	00	00
61)	18.9	0	0220	8	F1	3B	09	14	2A	21	02	10
62)	20.0	0	02B0	5	24	00	00	07	67
63)	20.9	0	0350	8	0F	2B	D4	73	75	00	00	F6
64)	22.9	0	0316	8	45	22	60	0A	22	1E	00	7F
65)	22.9	0	0260	8	05	22	00	30	2D	8E	5F	0B
66)	22.9	0	018F	8	FE	35	22	00	00	43	00	10
67)	23.9	0	0080	8	00	17	60	0A	22	1E	22	5C
68)	23.9	0	0081	8	80	84	74	00	00	00	00	5C
69)	24.9	0	02A0	8	02	00	74	9C	AD	28	88	0A
70)	24.9	0	0329	8	84	AD	7E	8C	12	2A	00	10
71)	24.9	0	04B0	8	00	C0	00	00	00	40	00	80
72)	25.9	0	0164	8	00	08	00	00	00	00	08	00
73)	25.9	0	04F2	8	A0	00	A0	38	00	00	00	C6
74)	25.9	0	0545	8	C8	11	00	89	1C	00	1E	00
75)	26.9	0	0370	8	FF	20	00	80	FF	00	00	28
76)	26.9	0	043F	8	00	40	60	FF	6D	00	0A	00
77)	27.9	0	0440	8	FF	A0	00	00	FF	04	0A	00
78)	27.9	0	0110	8	E0	1C	00	11	00	00	00	00
79)	28.9	0	0153	8	00	80	10	FF	00	FF	00	8E
80)	28.9	0	0165	8	E9	47	80	00	00	00	08	26
81)	28.9	0	0220	8	F3	03	08	1C	2A	21	02	10
82)	29.9	0	02B0	5	23	00	00	07	E8
83)	32.9	0	0316	8	45	22	60	0A	22	1E	00	7F
84)	32.9	0	0260	8	05	22	00	30	2D	8E	5F	1A
85)	33.9	0	02A0	8	A2	00	74	9C	AD	28	88	0A
86)	33.9	0	0080	8	00	17	60	0A	22	1E	22	4D
87)	33.9	0	0081	8	80	84	74	00	00	00	00	4D
88)	34.9	0	018F	8	FE	34	22	00	00	43	00	10
89)	34.9	0	0329	8	84	AD	7E	8C	12	2A	00	10
90)	35.9	0	0382	8	40	FE	0F	00	00	00	00	0C
91)	35.9	0	04B1	8	00	00	00	00	00	00	00	00
92)	35.9	0	0164	8	00	08	00	00	00	00	09	01
93)	36.9	0	0370	8	FF	20	00	80	FF	00	00	EC
94)	36.9	0	043F	8	00	40	60	FF	6D	FC	09	00
95)	36.9	0	0440	8	FF	F0	00	00	FF	FC	09	00
96)	37.9	0	04F0	8	00	00	8C	00	00	74	64	0D
97)	37.9	0	0545	8	C8	11	00	89	1C	00	1E	00
98)	37.9	0	0050	4	00	20	00	00
99)	38.9	0	0153	8	00	80	10	FF	00	FF	10	9E
100)	38.9	0	0165	8	E8	47	80	00	00	00	09	26
101)	38.9	0	01F1	8	00	00	00	00	00	00	00	00
102)	39.9	0	0220	8	F3	0B	09	0C	2A	21	02	10
103)	39.9	0	02B0	5	26	00	00	07	A9
104)	40.9	0	05E4	3	00	02	00
105)	40.9	0	02C0	8	3D	00	00	00	00	00	00	00
106)	40.9	0	0350	8	0F	2B	E4	73	75	00	00	C6
107)	42.9	0	0316	8	45	22	60	0A	22	1E	00	7F
108)	42.9	0	0260	8	05	22	00	30	2D	8E	5F	29
109)	42.9	0	018F	8	FE	34	22	00	00	43	00	10
110)	43.9	0	0080	8	00	17	60	0A	22	1E	22	3E
111)	43.9	0	0081	8	80	84	74	00	00	00	00	3E
112)	43.9	0	02A0	8	C2	00	74	9C	AD	28	88	0A
113)	44.9	0	0329	8	84	AD	7E	8C	12	2A	00	10
114)	44.9	0	04B0	8	00	00	00	40	00	40	00	80
115)	44.9	0	0164	8	00	08	00	00	00	00	0A	02
116)	45.8	0	04F2	8	A0	00	B0	38	00	00	00	C7
117)	45.8	0	0370	8	FF	20	00	80	FF	00	00	A0
118)	45.8	0	043F	8	00	40	60	FF	6D	F8	09	00
119)	46.8	0	0440	8	FF	00	00	00	FF	F4	09	00
120)	46.8	0	0545	8	C8	11	00	89	1C	00	1E	00
121)	48.8	0	0018	8	08	00	00	70	00	00	20	10
122)	48.8	0	02B0	5	23	00	00	07	CA
123)	48.8	0	0153	8	00	80	10	FF	00	FF	20	AE
124)	49.9	0	0165	8	E7	57	80	00	00	00	0A	3A
125)	49.9	0	0220	8	F2	13	0A	1C	2A	21	02	10
126)	52.8	0	0316	8	45	22	58	0A	22	1E	00	7F
127)	52.8	0	0260	8	05	22	00	30	2D	8E	5F	38
128)	53.8	0	02A0	8	62	00	74	9C	AD	28	88	0A
129)	53.8	0	0080	8	00	17	58	0A	22	1E	22	BF
130)	53.8	0	0081	8	80	84	74	00	00	00	00	2F
131)	54.8	0	018F	8	FE	34	22	00	00	43	00	10
132)	54.8	0	0329	8	84	AD	7E	8C	12	2A	00	10
133)	54.8	0	0382	8	40	FE	0F	00	00	00	00	00
134)	55.8	0	04B1	8	00	00	00	00	00	00	00	00
135)	55.8	0	0164	8	00	08	00	00	00	00	0B	03
136)	56.8	0	0370	8	FF	20	00	80	FF	00	00	64
137)	56.8	0	043F	8	00	40	60	FF	6D	E8	09	00
138)	57.8	0	0440	8	FF	50	00	00	FF	D8	09	00
139)	57.8	0	04F0	8	00	00	8E	00	00	74	64	0D
140)	57.8	0	0545	8	C8	11	00	89	1B	00	1E	00
141)	58.8	0	04F1	8	00	19	00	00	00	00	00	00
142)	58.8	0	0690	8	03	00	01	08	80	00	2D	08
143)	59.8	0	0153	8	00	80	10	FF	00	FF	30	BE
144)	59.8	0	0165	8	E7	57	80	00	00	00	0B	3B
145)	59.8	0	01F1	8	00	00	00	00	00	00	00	00
146)	60.8	0	0220	8	F2	1B	04	2C	2A	11	02	10
147)	60.8	0	02B0	5	23	00	00	07	DB
148)	60.8	0	0350	8	0F	2B	F4	73	75	00	00	D6
149)	62.8	0	0316	8	45	22	58	0A	22	1E	00	7F
150)	63.8	0	018F	8	FE	35	22	00	00	43	00	10
151)	63.8	0	0080	8	00	17	58	0A	22	1E	22	A0
152)	64.8	0	0081	8	80	84	74	00	00	00	00	10
153)	64.8	0	0260	8	05	22	00	30	2D	8E	5F	0B
154)	64.8	0	02A0	8	02	00	74	9C	AD	28	88	0A
155)	65.8	0	0329	8	84	AD	7E	8C	12	2A	00	10
156)	65.8	0	04B0	8	00	40	00	40	00	40	00	80
157)	65.8	0	0164	8	00	08	00	00	00	00	0C	04
158)	65.8	0	0370	8	FF	20	00	80	FF	00	00	28
